epoch,val eval,val mate,train eval,train mate
1,0.00049559,0.4356,0.0012,0.73
2,0.00047985,0.4211,0.00056715,0.5133
3,0.00047021,0.4167,0.00054872,0.4921
4,0.00046925,0.4097,0.00054453,0.4837
5,0.00048032,0.4066,0.00054047,0.4772
6,0.00046131,0.4049,0.00053566,0.4731
7,0.00046778,0.4082,0.00053398,0.4687
8,0.00047717,0.3192,0.00053165,0.4689
9,0.00045584,0.4159,0.00053072,0.4667
10,0.00046192,0.4051,0.0005294,0.465
11,0.00046939,0.3925,0.0005305,0.4568
12,0.0004656,0.4044,0.00053007,0.4591
13,0.00045118,0.4008,0.00052867,0.4593
14,0.00044755,0.4008,0.00052837,0.4549
15,0.00045037,0.3984,0.00052683,0.4564
16,0.00044866,0.3993,0.00052872,0.4504
17,0.00045112,0.4017,0.00052539,0.4559
18,0.00045597,0.4011,0.00052495,0.4498
19,0.00045202,0.3989,0.00052632,0.4519
20,0.00044826,0.3928,0.00052675,0.4469
21,0.00045288,0.3948,0.00052624,0.4512
22,0.00046759,0.3973,0.00052585,0.4516
23,0.00045909,0.3939,0.00052361,0.4507
24,0.00046061,0.403,0.00052569,0.449